PA,SZ,senior_pop_2025,total_pop_2025,aging_index_2025,senior_pop_2015,senior_pop_2020,senior_growth_rate,infra_count_weighted,infra_density,dist_nearest_hospital_km,dist_nearest_poly_km,demand_supply_ratio,cluster_id,cluster_label,cluster_color
Bukit Merah,Tiong Bahru,2700,12210,0.22113022113022113,2220.0,2630,0.019767293574032063,0.0,0.0,0.6226708025093445,0.8167411856245078,2700.0,1,High Pressure,#C0392B
Bukit Merah,Tiong Bahru Station,3230,14510,0.22260509993108202,2690.0,2830,0.01846245641636557,17.0,1.1325782811459026,1.0287825881103365,1.1989952968146882,3.09820704887465,0,Well-Served,#1A7A3C
Bukit Panjang,Bangkit,4870,20840,0.2336852207293666,2830.0,3780,0.05578199785185278,1.0,0.046860356138706656,5.687404278253322,3.981884264648437,141.650305149446,0,Well-Served,#1A7A3C
Bukit Panjang,Dairy Farm,990,7840,0.12627551020408162,500.0,750,0.07069683532443505,0.0,0.0,4.856530762260863,3.262725417332847,990.0,2,Emerging Pressure,#D4A017
Bukit Panjang,Fajar,4320,26050,0.1658349328214971,2190.0,3280,0.07029614996076283,2.0,0.07532956685499058,6.184108177543999,4.319023296358199,80.96452972252852,0,Well-Served,#1A7A3C
Bukit Panjang,Jelebu,6150,29600,0.20777027027027026,3300.0,4560,0.06423152010676558,5.0,0.16611295681063123,5.22218198251652,3.3602399245822827,50.01219030829314,0,Well-Served,#1A7A3C
Bukit Panjang,Nature Reserve,690,4050,0.17037037037037037,340.0,480,0.07333926578102345,0.0,0.0,4.173115161625468,3.5593178500438936,689.9999999999999,2,Emerging Pressure,#D4A017
Bukit Panjang,Saujana,3780,24740,0.15278900565885206,1690.0,2650,0.0838283568272129,0.0,0.0,6.069190289784261,4.098701922543883,3779.9999999999995,1,High Pressure,#C0392B
Bukit Panjang,Senja,3860,23720,0.1627318718381113,1550.0,2220,0.09553324367227689,5.0,0.2064409578860446,6.103183350939355,4.064709555984941,26.50050131462236,0,Well-Served,#1A7A3C
Bukit Timah,Anak Bukit,4940,24280,0.20345963756177923,3020.0,4070,0.0504418130281874,4.0,0.16142050040355124,2.463651668991962,2.710583450867147,36.58865741252456,0,Well-Served,#1A7A3C
Bukit Timah,Coronation Road,1240,7570,0.16380449141347425,980.0,1140,0.023810456790421597,3.0,0.37174721189591076,3.897989313750439,4.398223045293512,4.410087485911177,0,Well-Served,#1A7A3C
