name,lat,lon
Customer Service Counter @ The Centrepoint (Malls of Frasers Property Singapore),1.3019783691142168,103.83975902330988
NTUC FairPrice,1.3977118839050715,103.91965829004052
Eu Yan Sang @ Tiong Bahru Plaza (Malls of Frasers Property Singapore),1.2864588944844773,103.82701525655207
OSIM @ Tiong Bahru Plaza (Malls of Frasers Property Singapore),1.2864588944844773,103.82701525655207
Golden Village @ Tiong Bahru Plaza (Malls of Frasers Property Singapore),1.2864588944844773,103.82701525655207
NTUC FairPrice,1.3323346834519,103.93805128481523
NTUC Health Senior Day Care (Fengshan),1.3325488141244364,103.94036964963516
Peacehaven Bedok Day Centre,1.3296420179905406,103.93882107125206
Perdaus Centre (Bedok),1.3288432154525385,103.93912368734293
Bethesda Care Services,1.3312277591973136,103.9347437875517
Sheng Siong Supermarket,1.3246357305867718,103.93106882938798
Bedok MRT Station (EW5),1.3239886653853914,103.93005004973818
NTUC FairPrice Finest,1.3247363281746825,103.92925625964578
NTUC Health Senior Day Care (Heartbeat@Bedok),1.3268643857142655,103.93212951605695
NTUC FairPrice,1.325940692307752,103.93164002236391
Bedok Interchange (BDI),1.3247363281746825,103.92925625964578
Sheng Siong Supermarket,1.3173222449009334,103.94680014676709
Upper East Coast Terminal (ECT),1.317997401159372,103.95269167471433
Tanah Merah MRT Station (EW4 CG),1.3271872908940259,103.9463486009833
Expo MRT Station (DT35),1.3353825262594323,103.96237474781051
NTUC FairPrice Finest,1.3270299162118644,103.84649087191956
TOUCHpoint @ AMK 433 (AAC),1.3680765231889507,103.85435304302378
NTUC FairPrice,1.3088060937910408,103.86131195480559
Bugis MRT Station (EW12),1.3004650853550075,103.8557067312034
Lavender MRT Station (EW11),1.307377817590764,103.86276763358448
Novena MRT Station (NS20),1.3204583553447609,103.84384264555658
NTUC FairPrice,1.349033311822182,103.74956647813725
St Luke's ElderCare (Bukit Batok Centre),1.347170253528809,103.74129852329305
St Luke's Hospital,1.3496004115257019,103.74218235168904
Sheng Siong Supermarket,1.384005824816691,103.77102960324787
Al-Iman Mosque,1.3781380278777826,103.77274797309337
St Luke's ElderCare (Keat Hong Centre),1.375249794377361,103.74344879729327
New Horizon Centre (Bukit Batok),1.3527152949365409,103.75379345798606
Bukit Gombak MRT Station (NS3),1.3586115910784973,103.75179091072701
REACH Senior Centre (SAC) @ Bukit Gombak Vista,1.359219482381557,103.74986752708769
Ren Ci @ Bukit Batok Nursing Home,1.3549532520908907,103.75155798167464
Ar-Raudhah Mosque,1.3516602991237041,103.7560019188539
Botanic Gardens MRT Station (DT9),1.3224880710991087,103.81601399437017
Farrer Road MRT Station (CC20),1.3173511169050889,103.8078146421744
NTUC FairPrice,1.3153630272417716,103.84943450224092
NTUC FairPrice Finest,1.3057994297512867,103.83307470632774
NTUC FairPrice Finest,1.3164349569203313,103.83549290597739
Queenstown Community Club (CC),1.2990176628017027,103.80132248538362
Thong Kheng Active Ageing Centre (AAC) (Queenstown),1.287122143366337,103.80699461654258
Leng Kee Community Club (CC),1.28955908944878,103.81466410937169
NTUC FairPrice,1.2909091807567363,103.80310762640671
